key,total,min,max
year1986_month08,21.0,0.0,13.0
year1986_month09,9.0,0.0,2.0
year1986_month10,13.0,0.0,7.0
year1986_month11,37.0,0.0,19.0
year1986_month12,48.0,0.0,23.0
year1987_month01,78.0,0.0,36.0
year1987_month02,179.0,0.0,47.0
year1987_month03,169.0,0.0,77.0
year1987_month04,115.0,0.0,45.0
year1987_month05,51.0,0.0,15.0
year1987_month06,72.0,0.0,19.0
year1987_month07,37.0,0.0,25.0
year1987_month08,4.0,0.0,4.0
year1987_month09,26.0,0.0,5.0
year1987_month10,37.0,0.0,27.0
year1987_month11,124.0,0.0,34.0
year1987_month12,184.0,0.0,55.0
year1988_month01,21.0,0.0,5.0
year1988_month02,187.0,0.0,60.0
year1988_month03,154.0,0.0,31.0
year1988_month04,49.0,0.0,11.0
year1988_month05,73.0,0.0,30.0
year1988_month06,15.0,0.0,5.0
year1988_month07,44.0,0.0,8.0
year1988_month08,80.0,0.0,50.0
year1988_month09,20.0,0.0,8.0
year1988_month10,23.0,0.0,21.0
year1988_month11,132.0,0.0,29.0
year1988_month12,223.0,0.0,40.0
year1989_month01,187.0,0.0,47.0
year1989_month02,146.0,0.0,46.0
year1989_month03,445.0,0.0,82.0
year1989_month04,252.0,0.0,82.0
year1989_month05,116.0,0.0,40.0
year1989_month06,60.0,0.0,42.0
year1989_month07,13.0,0.0,5.0
year1989_month08,10.0,0.0,3.0
year1989_month09,6.0,0.0,2.0
year1989_month10,3.0,0.0,2.0
year1989_month11,239.0,0.0,109.0
year1989_month12,94.0,0.0,54.0
year1990_month01,51.0,0.0,20.0
year1990_month02,16.0,0.0,4.0
year1990_month03,607.0,0.0,140.0
year1990_month04,201.0,0.0,61.0
year1990_month05,177.0,0.0,21.0
year1990_month06,95.0,0.0,77.0
year1990_month07,20.0,0.0,4.0
year1990_month08,0.0,0.0,0.0
year1990_month09,38.0,0.0,6.0
year1990_month10,21.0,0.0,17.0
year1990_month11,9.0,0.0,5.0
year1990_month12,254.0,0.0,74.0
year1991_month01,534.0,0.0,97.0
year1991_month02,453.0,0.0,78.0
year1991_month03,34.0,0.0,12.0
year1991_month04,44.0,0.0,8.0
year1991_month05,50.0,0.0,10.0
year1991_month06,13.0,0.0,4.0
year1991_month07,12.0,0.0,5.0
year1991_month08,8.0,0.0,4.0
year1991_month09,0.0,0.0,0.0
year1991_month10,0.0,0.0,0.0
year1991_month11,82.0,0.0,48.0
year1991_month12,176.0,0.0,54.0
year1992_month01,156.0,0.0,62.0
year1992_month02,205.0,0.0,50.0
year1992_month03,89.0,0.0,24.0
year1992_month04,60.0,0.0,12.0
year1992_month05,54.0,0.0,12.0
year1992_month06,11.0,0.0,7.0
year1992_month07,33.0,0.0,7.0
year1992_month08,9.0,0.0,7.0
year1992_month09,58.0,0.0,33.0
year1992_month10,3.0,0.0,1.0
year1992_month11,14.0,0.0,5.0
year1992_month12,175.0,0.0,43.0
year1993_month01,150.0,0.0,40.0
year1993_month02,161.0,0.0,26.0
year1993_month03,23.0,0.0,9.0
year1993_month04,81.0,0.0,15.0
year1993_month05,52.0,0.0,10.0
year1993_month06,26.0,0.0,5.0
year1993_month07,52.0,0.0,12.0
year1993_month08,35.0,0.0,6.0
year1993_month09,27.0,0.0,14.0
year1993_month10,34.0,0.0,19.0
year1993_month11,95.0,0.0,84.0
year1993_month12,85.0,0.0,33.0
year1994_month01,205.0,0.0,128.0
year1994_month02,310.0,0.0,54.0
year1994_month03,107.0,0.0,34.0
year1994_month04,97.0,0.0,48.0
year1994_month05,23.0,0.0,8.0
year1994_month06,26.0,0.0,12.0
year1994_month07,61.0,0.0,13.0
year1994_month08,23.0,0.0,5.0
year1994_month09,8.0,0.0,4.0
year1994_month10,10.0,0.0,7.0
year1994_month11,18.0,0.0,14.0
year1994_month12,17.2,0.0,3.6
year1995_month01,62.0,0.0,34.0
year1995_month02,392.0,0.0,76.0
year1995_month03,278.0,0.0,103.0
year1995_month04,37.0,0.0,29.0
year1995_month05,37.0,0.0,7.0
year1995_month06,41.6,0.0,8.0
year1995_month07,6.0,0.0,6.0
year1995_month08,138.4,0.0,46.0
year1995_month09,0.0,0.0,0.0
year1995_month10,60.0,0.0,25.0
year1995_month11,89.0,0.0,51.0
year1995_month12,112.0,0.0,56.0
year1996_month01,196.0,0.0,40.0
year1996_month02,119.0,0.0,37.0
year1996_month03,298.0,0.0,60.0
year1996_month04,130.0,0.0,49.0
year1996_month05,84.0,0.0,27.0
year1996_month06,51.0,0.0,11.0
year1996_month07,34.0,0.0,21.0
year1996_month08,4.0,0.0,2.0
year1996_month09,7.0,0.0,7.0
year1996_month10,96.0,0.0,61.0
year1996_month11,75.0,0.0,32.0
year1996_month12,71.0,0.0,17.0
year1997_month01,169.0,0.0,25.0
year1997_month02,184.0,0.0,48.0
year1997_month03,411.0,0.0,198.0
year1997_month04,55.0,0.0,12.0
year1997_month05,61.0,0.0,28.0
year1997_month06,24.0,0.0,6.0
year1997_month07,24.0,0.0,6.0
year1997_month08,20.0,0.0,7.0
year1997_month09,31.0,0.0,23.0
year1997_month10,5.0,0.0,3.0
year1997_month11,23.0,0.0,13.0
year1997_month12,201.0,0.0,41.0
year1998_month01,387.0,0.0,89.0
year1998_month02,182.0,0.0,95.0
year1998_month03,62.0,0.0,12.0
year1998_month04,33.0,0.0,10.0
year1998_month05,44.0,0.0,19.0
year1998_month06,14.0,0.0,4.0
year1998_month07,44.0,0.0,20.0
year1998_month08,2.0,0.0,1.0
year1998_month09,38.0,0.0,16.0
year1998_month10,47.0,0.0,30.0
year1998_month11,147.0,0.0,32.0
year1998_month12,77.0,0.0,20.0
year1999_month01,346.0,0.0,86.0
year1999_month02,686.0,0.0,280.0
year1999_month03,432.0,0.0,154.0
year1999_month04,89.0,0.0,18.0
year1999_month05,26.0,0.0,5.0
year1999_month06,25.0,0.0,7.0
year1999_month07,41.0,0.0,20.0
year1999_month08,30.0,0.0,12.0
year1999_month09,35.0,0.0,15.0
year1999_month10,12.0,0.0,5.0
year1999_month11,136.0,0.0,33.0
year1999_month12,184.0,0.0,59.0
year2000_month01,138.0,0.0,54.0
year2000_month02,890.0,0.0,201.0
year2000_month03,185.0,0.0,50.0
year2000_month04,156.0,0.0,30.0
year2000_month05,24.1,0.0,9.0
year2000_month06,30.2,0.0,14.0
year2000_month07,1.0,0.0,1.0
year2000_month08,12.0,0.0,4.0
year2000_month09,0.0,0.0,0.0
year2000_month10,13.0,0.0,4.0
year2000_month11,147.0,0.0,26.0
year2000_month12,169.0,0.0,40.0
year2001_month01,141.0,0.0,66.0
year2001_month02,541.0,0.0,133.0
year2001_month03,90.0,0.0,20.0
year2001_month04,51.0,0.0,21.0
year2001_month05,0.0,0.0,0.0
year2001_month06,62.0,0.0,7.0
year2001_month07,0.0,0.0,0.0
year2001_month08,0.0,0.0,0.0
year2001_month09,11.0,0.0,7.0
year2001_month10,44.0,0.0,33.0
year2001_month11,38.0,0.0,30.0
year2001_month12,85.0,0.0,39.0
year2002_month01,159.0,0.0,44.0
year2002_month02,195.0,0.0,63.0
year2002_month03,60.0,0.0,30.0
year2002_month04,62.0,0.0,12.0
year2002_month05,39.0,0.0,16.0
year2002_month06,30.0,0.0,26.0
year2002_month07,11.0,0.0,4.0
year2002_month08,22.0,0.0,8.0
year2002_month09,3.0,0.0,2.0
year2002_month10,0.0,0.0,0.0
year2002_month11,1.0,0.0,1.0
year2002_month12,54.0,0.0,24.0
year2003_month01,199.2,0.0,98.0
year2003_month02,117.5,0.0,29.4
year2003_month03,122.69999999999999,0.0,54.6
year2003_month04,95.29999999999998,0.0,25.0
year2003_month05,69.5,0.0,12.4
year2003_month06,36.9,0.0,12.3
year2003_month07,25.799999999999997,0.0,3.8
year2003_month08,9.0,0.0,3.2
year2003_month09,1.4,0.0,1.4
year2003_month10,24.1,0.0,15.6
year2003_month11,2.4,0.0,1.2
year2003_month12,272.0,0.0,142.2
year2004_month01,107.4,0.0,29.0
year2004_month02,557.3000000000001,0.0,88.2
year2004_month03,577.9000000000001,0.0,129.3
year2004_month04,130.6,0.0,39.0
year2004_month05,26.799999999999997,0.0,6.2
year2004_month06,16.500000000000004,0.0,2.8
year2004_month07,26.900000000000002,0.0,10.0
year2004_month08,5.0,0.0,5.0
year2004_month09,2.0,0.0,1.6
year2004_month10,39.8,0.0,28.4
year2004_month11,15.9,0.0,6.2
year2004_month12,171.79999999999998,0.0,50.2
year2005_month01,373.70000000000005,0.0,83.7
year2005_month02,93.19999999999999,0.0,36.4
year2005_month03,217.2,0.0,143.0
year2005_month04,89.0,0.0,15.5
year2005_month05,17.599999999999998,0.0,6.8
year2005_month06,25.6,0.0,4.0
year2005_month07,55.699999999999996,0.0,11.2
year2005_month08,72.3,0.0,29.2
year2005_month09,2.9000000000000004,0.0,2.2
year2005_month10,53.800000000000004,0.0,33.2
year2005_month11,0.0,0.0,0.0
year2005_month12,105.59999999999998,0.0,39.8
year2006_month01,304.3,0.0,170.0
year2006_month02,86.50000000000001,0.0,26.2
year2006_month03,383.40000000000003,0.0,87.4
year2006_month04,311.1,0.0,135.2
year2006_month05,100.00000000000003,0.0,50.2
year2006_month06,47.39999999999999,0.0,15.0
year2006_month07,34.2,0.0,9.2
year2006_month08,9.0,0.0,3.4
year2006_month09,49.00000000000001,0.0,30.6
year2006_month10,27.799999999999997,0.0,7.4
year2006_month11,4.8,0.0,2.0
year2006_month12,80.3,0.0,53.2
year2007_month01,213.2,0.0,72.0
year2007_month02,354.0000000000001,0.0,72.2
year2007_month03,74.9,0.0,33.2
year2007_month04,34.5,0.0,4.4
year2007_month05,31.799999999999997,0.0,8.8
year2007_month06,56.50000000000002,0.0,16.0
year2007_month07,22.2,0.0,11.0
year2007_month08,15.399999999999999,0.0,4.6
year2007_month09,3.6,0.0,3.6
year2007_month10,15.200000000000001,0.0,7.6
year2007_month11,46.2,0.0,16.6
year2007_month12,183.2,0.0,94.6
year2008_month01,318.49999999999994,0.0,133.4
year2008_month02,557.4000000000001,0.0,129.0
year2008_month03,514.4,0.0,199.4
year2008_month04,8.2,0.0,4.2
year2008_month05,20.8,0.0,10.8
year2008_month06,16.4,0.0,3.8
year2008_month07,52.0,0.0,19.6
year2008_month08,1.4,0.0,1.4
year2008_month09,21.700000000000003,0.0,8.4
year2008_month10,18.4,0.0,6.4
year2008_month11,107.2,0.0,87.0
year2008_month12,114.2,0.0,63.8
year2009_month01,454.20000000000005,0.0,51.8
year2009_month02,371.79999999999995,0.0,60.0
year2009_month03,121.60000000000001,0.0,38.0
year2009_month04,53.0,0.0,36.8
year2009_month05,38.699999999999996,0.0,9.2
year2009_month06,8.599999999999998,0.0,5.2
year2009_month07,2.0,0.0,1.6
year2009_month08,4.0,0.0,3.0
year2009_month09,0.0,0.0,0.0
year2009_month10,7.8,0.0,4.0
year2009_month11,84.0,0.0,58.2
year2009_month12,31.4,0.0,29.0
year2010_month01,443.4,0.0,66.8
year2010_month02,206.6,0.0,28.0
year2010_month03,122.1,0.0,23.0
year2010_month04,52.8,0.0,13.5
year2010_month05,14.1,0.0,3.8
year2010_month06,15.0,0.0,4.0
year2010_month07,27.3,0.0,7.0
year2010_month08,28.3,0.0,13.5
year2010_month09,27.700000000000003,0.0,6.8
year2010_month10,57.30000000000001,0.0,10.3
year2010_month11,173.4,0.0,38.6
year2010_month12,344.2,0.0,98.6
year2011_month01,521.7,0.0,94.4
year2011_month02,390.20000000000005,0.0,65.0
year2011_month03,302.99999999999994,0.0,44.2
year2011_month04,30.9,0.0,8.0
year2011_month05,22.400000000000002,0.0,5.4
year2011_month06,37.3,0.0,15.3
year2011_month07,6.0,0.0,2.2
year2011_month08,14.0,0.0,4.2
year2011_month09,4.0,0.0,4.0
year2011_month10,78.2,0.0,31.0
year2011_month11,40.7,0.0,22.6
year2011_month12,185.50000000000003,0.0,36.0
year2012_month01,194.2,0.0,53.4
year2012_month02,122.0,0.0,28.0
year2012_month03,426.99999999999994,0.0,121.2
year2012_month04,28.6,0.0,10.8
year2012_month05,73.00000000000001,0.0,25.0
year2012_month06,40.2,0.0,33.6
year2012_month07,44.199999999999996,0.0,37.6
year2012_month08,9.6,0.0,8.2
year2012_month09,0.0,0.0,0.0
year2012_month10,0.0,0.0,0.0
year2012_month11,34.6,0.0,27.0
year2012_month12,1.0,0.0,1.0
year2013_month01,314.2,0.0,116.4
year2013_month02,73.4,0.0,24.2
year2013_month03,125.9,0.0,42.0
year2013_month04,76.2,0.0,26.0
year2013_month05,29.0,0.0,6.8
year2013_month06,14.6,0.0,6.6
year2013_month07,24.200000000000003,0.0,4.4
year2013_month08,0.0,0.0,0.0
year2013_month09,18.599999999999998,0.0,6.2
year2013_month10,21.0,0.0,6.2
year2013_month11,135.2,0.0,74.0
year2013_month12,29.8,0.0,13.8
year2014_month01,91.39999999999999,0.0,31.8
year2014_month02,263.8,0.0,107.8
year2014_month03,170.4,0.0,68.8
year2014_month04,226.2,0.0,99.0
year2014_month05,40.8,0.0,8.2
year2014_month06,116.8,0.0,42.0
year2014_month07,16.1,0.0,2.8
year2014_month08,19.400000000000002,0.0,7.6
year2014_month09,0.0,0.0,0.0
year2014_month10,0.0,0.0,0.0
year2014_month11,0.0,0.0,0.0
year2014_month12,0.0,0.0,0.0
year2015_month01,258.70000000000005,0.0,70.0
year2015_month02,431.90000000000003,0.0,217.0
year2015_month03,193.60000000000002,0.0,94.4
year2015_month04,46.7,0.0,11.0
year2015_month05,14.599999999999998,0.0,4.4
year2015_month06,87.0,0.0,28.6
year2015_month07,17.799999999999997,0.0,4.6
year2015_month08,2.6,0.0,2.6
year2015_month09,8.0,0.0,5.4
year2015_month10,7.800000000000001,0.0,4.4
year2015_month11,46.6,0.0,24.5
year2015_month12,227.80000000000004,0.0,38.4
year2016_month01,64.0,0.0,24.0
year2016_month02,84.6,0.0,18.5
year2016_month03,152.7,0.0,26.0
year2016_month04,44.4,0.0,8.5
year2016_month05,101.2,0.0,58.5
year2016_month06,40.6,0.0,9.0
year2016_month07,35.5,0.0,9.0
year2016_month08,20.2,0.0,5.0
year2016_month09,19.9,0.0,5.6
year2016_month10,7.2,0.0,3.2
year2016_month11,31.400000000000002,0.0,15.5
year2016_month12,81.5,0.0,36.5
year2017_month01,542.8,0.0,91.0
year2017_month02,164.2,0.0,40.0
year2017_month03,53.0,0.0,10.5
year2017_month04,52.5,0.0,14.0
year2017_month05,52.0,0.0,9.0
year2017_month06,49.5,0.0,8.5
year2017_month07,27.5,0.0,8.5
year2017_month08,3.0,0.0,2.0
year2017_month09,27.0,0.0,19.0
year2017_month10,0.0,0.0,0.0
year2017_month11,41.6,0.0,12.0
year2017_month12,36.0,0.0,36.0
year2018_month01,282.0,0.0,85.0
year2018_month02,284.6,0.0,93.0
year2018_month03,546.0,0.0,159.0
year2018_month04,30.5,0.0,8.0
year2018_month05,23.0,0.0,4.5
year2018_month06,18.5,0.0,5.0
year2018_month07,16.5,0.0,7.5
year2018_month08,6.0,0.0,4.0
year2018_month09,3.0,0.0,1.0
year2018_month10,5.5,0.0,2.5
year2018_month11,42.0,0.0,20.0
year2018_month12,546.0,0.0,135.0
year2019_month01,373.2,0.0,158.5
year2019_month02,211.8,0.0,75.0
year2019_month03,177.9,0.0,34.5
year2019_month04,113.2,0.0,35.5
year2019_month05,45.20000000000001,0.0,6.8
year2019_month06,27.0,0.0,7.0
year2019_month07,41.800000000000004,0.0,14.5
year2019_month08,20.2,0.0,8.9
year2019_month09,1.4,0.0,1.4
year2019_month10,0.0,0.0,0.0
year2019_month11,0.0,0.0,0.0
year2019_month12,65.8,0.0,21.0
year2020_month01,291.0,0.0,67.0
year2020_month02,161.7,0.0,26.5
year2020_month03,221.5,0.0,57.5
year2020_month04,31.0,0.0,10.0
year2020_month05,72.0,0.0,18.0
year2020_month06,43.5,0.0,8.0
year2020_month07,21.0,0.0,8.5
year2020_month08,33.5,0.0,18.5
year2020_month09,45.0,0.0,9.0
year2020_month10,20.0,0.0,15.5
year2020_month11,7.5,0.0,3.0
year2020_month12,112.0,0.0,48.0
year2021_month01,437.5,0.0,64.0
year2021_month02,208.4,0.0,41.0
year2021_month03,155.0,0.0,72.0
year2021_month04,365.5,0.0,61.0
year2021_month05,35.5,0.0,6.5
year2021_month06,35.3,0.0,15.5
year2021_month07,24.5,0.0,10.0
year2021_month08,24.0,0.0,5.0
